,file,language
0,acoruna_barco_m67780_a84524_audio_converted.mp3,Galician
1,barcelona_Ovvero_m68255_a84999_audio_converted.mp3,Bosnian
2,berlin_Dirk_m67384_a84128_audio_converted.mp3,German
3,cuenca_Amalia_m69879_a86623_audio_converted.mp3,Spanish
4,elbarcelonC3A8s_Martagosa_m71623_a88367_audio_converted.mp3,Catalan
