Category,Count
,6025
Music,573
Danger,266
Accessible,257
Culture,192
Water,159
Square,151
Bridges,136
Streets_for_everyone,182
Caution,105
Smells,149
Churches,154
Restaurant,101
Mobility,187
Bar,134
Park,118
Ambient_sounds,5
